name	value
Fishing	13
Textile	18
Roadwork and infrastructure	33
Metalworking	34
Geology assistance	38
Merchant ships	46
Mining exploitation	62
Industrial assembly	66
Mechanics of aircraft maintenance	70
Operation of chemical plant	83
Wood processing	107
Wood products	184
Port operations	200
Extractive metallurgy	210
Sanitation	212
Social and recreational care	269
Construction completions	279
Forest	281
Refrigeration and air conditioning	282
Technical drawing	311
Graphing	368
Care of older adults	401
Aquaculture	426
Apparel	440
Construction	525
Hotel services	548
Chemical lab	687
Industrial food processing	698
Tourist services	943
Patient care	1334
Real estate management	1539
Telecommunications	1824
Industrial mechanics	1883
Sales	2200
Farming	2231
Electronics	2382
Secretary services	2679
Electricity	2995
Nursing care	3172
Automotive mechanic	3288
Food service	3829
Accounting	5545
Administration	7914
